,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,038880,아이에이,"464","-14","-2.9","477","477","454","1,901,076","883,542,840","112,017,618,384","0.04","241,417,281"
,038950,파인디지털,"5,200","-220","-4.1","5,480","5,480","5,170","48,203","252,972,650","53,095,978,000","0.02","10,210,765"
,039010,현대통신,"6,730","-50","-0.7","6,710","6,810","6,620","21,194","142,196,410","58,046,250,000","0.02","8,625,000"
,039020,이건홀딩스,"2,705","-85","-3.0","2,750","2,790","2,665","237,259","642,798,955","61,091,637,845","0.02","22,584,709"
,039030,이오테크닉스,"104,000","-4,700","-4.3","107,200","107,900","101,700","159,425","16,639,952,500","1,281,233,200,000","0.44","12,319,550"
,039200,오스코텍,"29,200","150","0.5","28,750","29,950","28,700","628,223","18,449,675,250","852,649,081,200","0.29","29,200,311"
,039230,에이아이비트,"181","0","0.0","0","0","0","0","0","18,889,625,713","0.01","104,362,573"
,039240,경남스틸,"1,740","-10","-0.6","1,730","1,750","1,725","103,876","180,352,235","43,500,000,000","0.01","25,000,000"
,039290,인포뱅크,"6,750","-250","-3.6","6,920","6,980","6,680","80,070","546,381,820","58,684,351,500","0.02","8,693,978"
,039310,세중,"2,675","-100","-3.6","2,700","2,735","2,640","260,594","699,034,995","48,475,459,225","0.02","18,121,667"
,039340,한국경제TV,"5,590","-140","-2.4","5,630","5,880","5,590","125,408","715,048,070","128,570,000,000","0.04","23,000,000"
,039420,케이엘넷,"2,305","-20","-0.9","2,275","2,385","2,260","218,697","502,593,585","55,676,652,650","0.02","24,154,730"
,039440,에스티아이,"19,000","-1,050","-5.2","19,600","19,800","18,700","1,104,451","21,224,879,550","300,770,000,000","0.10","15,830,000"
,039560,다산네트웍스,"11,700","-550","-4.5","11,800","12,250","11,250","2,200,454","25,702,971,100","375,315,969,600","0.13","32,078,288"
,039610,화성밸브,"5,370","-70","-1.3","5,440","5,470","5,340","58,095","313,504,540","55,903,848,000","0.02","10,410,400"
,039670,한류타임즈,"917","0","0.0","0","0","0","0","0","54,949,071,884","0.02","59,922,652"
,039740,한국정보공학,"3,145","35","1.1","3,230","3,230","3,015","112,552","346,624,475","25,217,858,565","0.01","8,018,397"
,039830,오로라,"8,880","-160","-1.8","9,000","9,060","8,800","92,195","818,041,730","95,574,463,200","0.03","10,762,890"
,039840,디오,"25,700","-750","-2.8","26,150","26,350","25,650","73,669","1,909,652,550","398,956,571,400","0.14","15,523,602"
,039860,나노엔텍,"10,650","-200","-1.8","10,750","10,950","10,500","1,158,094","12,362,643,100","285,025,172,550","0.10","26,762,927"
,039980,리노스,"1,210","-5","-0.4","1,205","1,215","1,195","202,763","244,111,915","50,264,133,260","0.02","41,540,606"
,040160,누리텔레콤,"6,630","-130","-1.9","6,650","6,850","6,540","80,865","539,337,810","79,928,197,050","0.03","12,055,535"
,040300,YTN,"2,575","255","11.0","2,320","2,905","2,285","3,174,519","8,330,851,305","108,150,000,000","0.04","42,000,000"
,040350,큐로컴,"2,240","-20","-0.9","2,255","2,255","2,170","573,051","1,270,388,560","254,818,011,840","0.09","113,758,041"
,040420,정상제이엘에스,"5,880","20","0.3","5,840","5,950","5,830","26,819","158,604,460","92,184,005,760","0.03","15,677,552"
,040610,SG&G,"1,435","5","0.4","1,420","1,485","1,420","448,116","652,982,355","48,915,126,260","0.02","34,087,196"
,040910,아이씨디,"14,850","-850","-5.4","15,400","15,550","14,800","625,991","9,453,901,150","264,370,020,750","0.09","17,802,695"
,041020,인프라웨어,"1,520","20","1.3","1,555","1,555","1,445","223,842","333,017,225","56,944,003,200","0.02","37,463,160"
,041140,넥슨지티,"12,400","0","0.0","12,200","12,650","12,100","538,284","6,693,877,850","438,629,192,800","0.15","35,373,322"
,041190,우리기술투자,"2,580","-70","-2.6","2,650","2,660","2,560","864,607","2,248,540,215","216,720,000,000","0.07","84,000,000"
,041440,에버다임,"3,895","270","7.4","3,645","4,130","3,645","1,109,476","4,387,330,840","69,782,601,880","0.02","17,915,944"
,041460,한국전자인증,"5,860","-90","-1.5","5,950","6,070","5,790","376,835","2,236,141,170","125,751,199,140","0.04","21,459,249"
,041510,에스엠,"30,200","-900","-2.9","30,600","30,900","30,100","526,440","16,033,003,550","708,174,930,200","0.24","23,449,501"
,041520,이라이콤,"5,900","-300","-4.8","6,040","6,200","5,890","179,937","1,076,506,730","71,913,507,000","0.02","12,188,730"
,041590,젬백스지오,"786","-4","-0.5","773","799","773","456,926","357,989,847","60,857,012,850","0.02","77,426,225"
