Date,Adj Close,name,code,dollar,Dubai,Brent,Oman,WTI
2020-04-09,92400.0,현대건설우,000725,1219.7,23.32,31.48,23.32,22.76
2020-04-13,96200.0,현대건설우,000725,1212.3,22.31,31.74,22.3,22.41
2020-04-14,98800.0,현대건설우,000725,1218.7,21.66,29.6,21.67,20.11
2020-04-16,118500.0,현대건설우,000725,1216.7,19.72,27.82,19.83,19.87
2020-04-17,113000.0,현대건설우,000725,1227.5,20.61,28.08,20.81,18.27
2020-04-20,125000.0,현대건설우,000725,1219.3,20.78,25.57,20.88,-37.63
2020-04-21,119500.0,현대건설우,000725,1218.7,17.37,19.33,17.36,10.01
2020-04-22,123000.0,현대건설우,000725,1231.3,13.52,20.37,13.52,13.78
2020-04-23,121000.0,현대건설우,000725,1235.2,18.13,21.33,18.14,16.5
2020-04-24,120500.0,현대건설우,000725,1232.0,18.17,21.44,18.18,16.94
2020-04-27,119500.0,현대건설우,000725,1235.8,17.97,19.99,17.96,12.78
2020-04-28,117500.0,현대건설우,000725,1230.3,16.63,20.46,16.76,12.34
2020-04-29,116000.0,현대건설우,000725,1225.2,17.12,22.54,17.58,15.06
2020-05-04,115000.0,현대건설우,000725,1218.5,24.33,27.2,25.12,20.39
2020-05-06,119500.0,현대건설우,000725,1227.8,26.88,29.72,27.44,23.99
2020-05-07,118500.0,현대건설우,000725,1223.3,26.88,29.72,27.44,23.99
2020-05-08,120000.0,현대건설우,000725,1226.5,25.92,30.97,26.31,24.74
2020-05-11,116000.0,현대건설우,000725,1217.7,26.72,29.63,27.07,24.14
2020-05-12,115500.0,현대건설우,000725,1217.8,26.93,29.98,27.3,25.78
2020-05-13,114000.0,현대건설우,000725,1226.7,26.84,29.19,27.39,25.29
2020-05-14,111000.0,현대건설우,000725,1226.3,29.83,31.13,30.22,27.56
2020-05-15,108000.0,현대건설우,000725,1227.9,31.94,32.5,32.44,29.43
2020-05-18,110000.0,현대건설우,000725,1229.3,32.9,34.81,33.44,31.82
2020-05-19,111500.0,현대건설우,000725,1231.6,33.18,34.65,33.24,32.5
2020-05-20,110500.0,현대건설우,000725,1224.5,32.95,35.75,33.02,33.49
2020-05-21,108500.0,현대건설우,000725,1227.8,34.1,36.06,34.08,33.92
2020-05-22,107000.0,현대건설우,000725,1230.7,32.62,35.13,32.6,33.25
2020-05-26,110000.0,현대건설우,000725,1242.0,34.81,36.17,34.81,34.35
2020-05-27,110000.0,현대건설우,000725,1237.1,34.48,34.74,34.48,32.81
2020-05-28,108000.0,현대건설우,000725,1233.7,33.17,35.29,33.18,33.71
2020-05-29,106500.0,현대건설우,000725,1239.4,34.86,35.33,35.17,35.49
2020-06-01,107000.0,현대건설우,000725,1237.6,37.97,38.32,38.47,35.44
2020-06-02,109500.0,현대건설우,000725,1227.8,38.93,39.57,39.08,36.81
2020-06-03,113000.0,현대건설우,000725,1224.1,39.87,39.79,39.95,37.29
2020-06-04,122000.0,현대건설우,000725,1216.9,38.82,39.99,38.92,37.41
2020-06-05,119500.0,현대건설우,000725,1217.4,40.63,42.3,40.68,39.55
2020-06-08,130000.0,현대건설우,000725,1213.1,42.94,40.8,43.04,38.19
2020-06-09,135000.0,현대건설우,000725,1204.2,40.85,41.18,40.88,38.94
2020-06-10,131500.0,현대건설우,000725,1197.7,40.91,41.73,40.9,39.6
2020-06-11,136000.0,현대건설우,000725,1194.4,40.6,38.55,40.61,36.34
2020-06-12,130000.0,현대건설우,000725,1192.8,38.42,38.73,38.45,36.26
2020-06-15,128500.0,현대건설우,000725,1206.6,38.35,39.72,38.35,37.12
