,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,038540,상상인,"6,430","120","1.9","6,270","6,540","6,260","318,865","2,052,585,310","355,761,052,590","0.12","55,328,313"
,038620,위즈코프,"1,035","-15","-1.4","1,065","1,065","1,020","744,850","772,706,190","40,189,849,020","0.01","38,830,772"
,038680,에스넷,"7,000","-70","-1.0","7,140","7,140","6,940","357,949","2,511,417,860","112,526,505,000","0.04","16,075,215"
,038870,에코바이오,"8,660","0","0.0","8,660","8,880","8,450","478,931","4,149,002,970","100,551,208,040","0.03","11,610,994"
,038880,아이에이,"480","-10","-2.0","488","496","480","1,209,052","586,682,909","115,880,294,880","0.04","241,417,281"
,038950,파인디지털,"5,510","-200","-3.5","5,700","5,700","5,460","52,739","291,186,680","56,261,315,150","0.02","10,210,765"
,039010,현대통신,"6,820","40","0.6","6,840","6,850","6,590","21,373","144,336,010","58,822,500,000","0.02","8,625,000"
,039020,이건홀딩스,"2,870","150","5.5","2,865","2,950","2,795","735,877","2,105,719,080","64,818,114,830","0.02","22,584,709"
,039030,이오테크닉스,"106,200","1,300","1.2","105,000","109,700","103,600","111,293","11,876,219,600","1,308,336,210,000","0.44","12,319,550"
,039200,오스코텍,"28,500","750","2.7","28,250","28,750","27,700","670,630","19,019,463,650","832,208,863,500","0.28","29,200,311"
,039230,에이아이비트,"181","0","0.0","0","0","0","0","0","18,889,625,713","0.01","104,362,573"
,039240,경남스틸,"1,745","0","0.0","1,750","1,750","1,735","82,264","143,039,575","43,625,000,000","0.01","25,000,000"
,039290,인포뱅크,"7,150","40","0.6","7,110","7,200","6,940","101,417","717,069,300","62,161,942,700","0.02","8,693,978"
,039310,세중,"2,820","0","0.0","2,820","2,855","2,780","218,505","612,641,415","51,103,100,940","0.02","18,121,667"
,039340,한국경제TV,"5,880","-180","-3.0","6,080","6,180","5,790","264,425","1,572,995,610","135,240,000,000","0.05","23,000,000"
,039420,케이엘넷,"2,345","-55","-2.3","2,365","2,400","2,315","361,743","849,505,785","56,642,841,850","0.02","24,154,730"
,039440,에스티아이,"20,100","3,050","17.9","17,200","20,900","17,100","6,909,187","134,373,122,150","318,183,000,000","0.11","15,830,000"
,039560,다산네트웍스,"12,000","750","6.7","11,400","12,200","11,250","3,363,572","39,862,545,800","384,939,456,000","0.13","32,078,288"
,039610,화성밸브,"5,520","-60","-1.1","5,520","5,640","5,490","64,301","355,529,200","57,465,408,000","0.02","10,410,400"
,039670,한류타임즈,"917","0","0.0","0","0","0","0","0","54,949,071,884","0.02","59,922,652"
,039740,한국정보공학,"3,035","70","2.4","2,985","3,035","2,925","218,317","691,507,360","24,335,834,895","0.01","8,018,397"
