,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,336260,두산퓨얼셀,"40,800","0","0.0","41,250","42,200","39,700","1,382,962","56,751,375,300","2,264,144,020,800","0.15","55,493,726"
,33626K,두산퓨얼셀1우,"13,350","-400","-2.9","13,800","13,950","13,300","308,652","4,151,558,550","178,412,070,000","0.01","13,364,200"
,33626L,두산퓨얼셀2우B,"21,850","-400","-1.8","22,550","22,750","21,550","47,483","1,041,188,950","65,250,655,000","0.00","2,986,300"
,336370,두산솔루스,"36,200","-800","-2.2","37,050","37,150","36,200","259,179","9,466,719,950","1,107,349,239,600","0.07","30,589,758"
,33637K,두산솔루스1우,"17,900","-500","-2.7","18,400","18,400","17,900","92,148","1,665,144,300","131,858,560,000","0.01","7,366,400"
,33637L,두산솔루스2우B,"38,200","-950","-2.4","38,700","39,000","37,450","22,388","853,097,600","62,879,110,000","0.00","1,646,050"
,338100,NH프라임리츠,"4,460","30","0.7","4,475","4,475","4,445","40,830","181,969,190","83,223,600,000","0.01","18,660,000"
,344820,케이씨씨글라스,"33,200","-50","-0.2","33,300","33,650","32,700","98,604","3,272,385,850","277,226,972,000","0.02","8,350,210"
,353200,대덕전자,"12,600","900","7.7","11,700","13,300","11,450","15,331,728","194,417,532,800","622,653,255,000","0.04","49,416,925"
,35320K,대덕전자1우,"7,360","160","2.2","7,110","7,720","7,090","467,812","3,490,334,920","15,423,019,840","0.00","2,095,519"
,900140,엘브이엠씨홀딩스,"3,820","-75","-1.9","3,895","3,945","3,750","166,567","633,020,870","195,280,076,980","0.01","51,120,439"
